ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
2790555.0;400;43.352;Langenthaltunnel;1-Röhre / 2-Spuren;2003;2625362.216;1230276.428;47.222932553, 7.77348532022;Bern
504984.0;450;42.98;Borntunnel;1-Röhre / 2-Spuren;1981;2634360.729;1241258.786;47.3213059714, 7.89312932434;Solothurn
450485.0;460;75.916;Werthensteintunnel;1-Röhre / 1-Spur;1875;2650195.855;1211895.506;47.0561869349, 8.09931055928;Luzern
1664136.0;460;48.727;Wiggentunnel;1-Röhre / 1-Spur;1875;2635578.085;1194115.1;46.897197815, 7.9055255376;Luzern
82714.0;500;93.654;Schönheimtunnel;1-Röhre / 2-Spuren;1896;2665515.369;1210776.086;47.0447816926, 8.30077051462;Luzern
2013424.0;510;140.298;Schützenmatttunnel;1-Röhre / 2-Spuren;1901;2609770.091;1266556.103;47.5496524742, 7.56840994783;Basel-Stadt
124615.0;570;11.956;Lettentunnel LU;1-Röhre / 1-Spur;1897;2672727.179;1212195.573;47.0567972614, 8.39589213979;Luzern
124717.0;570;4.354;Luzerner Stadttunnel;1-Röhre / 1-Spur;1897;2666789.185;1212300.359;47.0583645923, 8.31775637568;Luzern
124693.0;600;99.226;Galleria Artoito;1-Röhre / 2-Spuren;1882;2701151.238;1149862.152;46.4924361772, 8.75618289518;Ticino
13472947.0;600;200.313;Galleria Coldrerio;1-Röhre / 2-Spuren;1874;2719406.896;1079630.777;45.8577825412, 8.97598960865;Ticino
719610.0;600;151.885;Galleria Dragonato;1-Röhre / 2-Spuren;1874;2722322.774;1116380.126;46.1877730642, 9.02307644636;Ticino
1296520.0;600;114.555;Galleria la Lume;1-Röhre / 2-Spuren;1882;2708894.071;1142761.5;46.4273574089, 8.85534592237;Ticino
790459.0;600;163.76;Galleria Monte Ceneri sinistra;1-Röhre / 2-Spuren;1882;2714617.436;1110562.949;46.1368092889, 8.9218701986;Ticino
1268628.0;600;102.23;Galleria Pardorea;1-Röhre / 1-Spur;1882;2702119.12;1149516.231;46.4891779492, 8.76871124327;Ticino
624490.0;600;77.397;Gotthardtunnel;1-Röhre / 2-Spuren;1882;2688558.352;1162003.853;46.6034298714, 8.59450938682;Uri
1441715.0;600;55.64;Häggrigergalerie Mitte;1-Röhre / 2-Spuren;1882;2689912.343;1174967.262;46.7198485977, 8.61471497406;Uri
323166.0;600;22.146;Hochfluhtunnel Gl. 200;1-Röhre / 1-Spur;1882;2689277.351;1204503.547;46.9855923279, 8.61218794179;Schwyz
1457790.0;600;49.724;Intschitunnel;1-Röhre / 2-Spuren;1882;2692945.042;1179623.775;46.7613152204, 8.65532165442;Uri
1478841.0;600;59.489;Kirchbergtunnel;1-Röhre / 2-Spuren;1882;2688953.807;1173580.725;46.7075059514, 8.60191005212;Uri
323523.0;600;24.755;Oelbergtunnel Gl. 200;1-Röhre / 1-Spur;1882;2689604.989;1201991.058;46.9629505384, 8.61599861222;Schwyz
124704.0;600;27.33;Stutzecktunnel Gl. 200;1-Röhre / 1-Spur;1882;2689870.818;1199588.988;46.9413100229, 8.61901620741;Uri
1457809.0;600;47.763;Windgällentunnel;1-Röhre / 2-Spuren;1882;2694296.02;1180733.327;46.7711050731, 8.67323209209;Uri
796770.0;608;179.322;Galleria Massagno II destra;1-Röhre / 1-Spur;1933;2716102.539;1096779.603;46.0125892963, 8.93767579074;Ticino
3511170.0;649;42.013;Aarauer Stadttunnel I Nord;1-Röhre / 2-Spuren;1996;2645777.861;1248957.846;47.3898587103, 8.04492946418;Aargau
1380443.0;665;10.661;Rufibachtunnel;1-Röhre / 1-Spur;1897;2682497.484;1215946.382;47.0893884475, 8.52516051319;Schwyz
736381.0;700;36.737;Villnacherntunnel;1-Röhre / 2-Spuren;1875;2653832.099;1257814.526;47.4689047301, 8.152665237;Aargau
2568129.0;714;3.511;UQB-Altstettertunnel;Andere;2002;2679966.979;1249346.755;47.3900942153, 8.49777344018;Zürich
956313.0;730;6.544;Riesbachtunnel;1 Röhre / 1 Spur;1894;2684523.458;1246325.604;47.362355112, 8.55754470346;Zürich
1502836.0;730;25.999;Lattenbergtunnel;1-Röhre / 1-Spur;1894;2696659.229;1233052.51;47.2413186602, 8.71531234946;Zürich
1449361.0;754;39.37;Platteneinschnitttunnel;1-Röhre / 1-Spur;1876;2711858.732;1236923.691;47.2737327295, 8.91698797004;Zürich
1472362.0;762;52.545;Schloss Laufentunnel;1-Röhre / 1-Spur;1857;2688341.346;1281304.66;47.6764145351, 8.61502018232;Zürich
903779.0;890;15.24;Bommersteintunnel;1-Röhre / 2-Spuren;1941;2740604.334;1219816.404;47.1144031507, 9.29143281147;St.AuslandGallen
3859968.0;100;165.714;Simplontunnel;2-Röhren / 2 x 1-Spur;1922;2657878.505;1118474.697;46.2152371165, 8.18867606901;
823297.0;100;50.999;Tunnel de St-Maurice (003);1-Röhre / 2-Spuren;1859;2566344.617;1118978.934;46.2214116683, 7.00246965084;Valais
3363328.0;151;62.234;Tunnel du Saut-de-Mouton (093);1-Röhre / 1-Spur;1993;2498212.408;1118173.964;46.2073033711, 6.11975889187;Genève
13149934.0;152;68.994;Halte de Champel-Hôpital;1-Röhre / 2-Spuren;2018;2500868.997;1116423.933;46.1919599509, 6.15454638106;Genève
13147691.0;152;65.868;Tunnel de Pinchat;1-Röhre / 2-Spuren;2019;1114343.673;2499059.609;56.4878982065, -16.6804521885;
394694.0;154;0.413;Tunnel de Châtelaine (089);1-Röhre / 1-Spur;1959;2498177.444;1118066.462;46.2063311675, 6.11932939468;Genève
3363363.0;200;39.131;Tunnel de Nanchau (036);1-Röhre / 2-Spuren;1870;2523986.697;1175784.305;46.7289101756, 6.4442046968;Vaud
394673.0;201;9.837;Tunnel des Epoisats (074);1-Röhre / 1-Spur;1886;2515718.776;1170493.93;46.6803299548, 6.33702772677;Vaud
2093173.0;210;56.813;Tunnel  St-Aubin-Sauges (097);1-Röhre / 2-Spuren;1999;2549006.693;1193800.314;46.8933522957, 6.76949060616;Neuchâtel
1315894.0;219;12.95;Tunnel de Champ Rouge (016);1-Röhre / 1-Spur;1860;2550016.244;1201628.032;46.9638385957, 6.78187583621;Neuchâtel
